Date;Filière;Valeur (GW)
2019/01/01;"Enveloppe basse";49.71679
2019/01/02;"Enveloppe basse";53.30583
2019/01/03;"Enveloppe basse";53.51208
2019/01/04;"Enveloppe basse";53.57083
2019/01/05;"Enveloppe basse";53.64708
2019/01/06;"Enveloppe basse";54.10521
2019/01/07;"Enveloppe basse";54.085
2019/01/08;"Enveloppe basse";54.505
2019/01/09;"Enveloppe basse";55.25583
2019/01/10;"Enveloppe basse";55.32854
2019/01/11;"Enveloppe basse";55.2575
2019/01/12;"Enveloppe basse";54.03822
2019/01/13;"Enveloppe basse";53.18342
2019/01/14;"Enveloppe basse";52.32833
2019/01/15;"Enveloppe basse";52.54004
2019/01/16;"Enveloppe basse";53.51462
2019/01/17;"Enveloppe basse";54.14849
2019/01/18;"Enveloppe basse";54.14625
2019/01/19;"Enveloppe basse";50.13995
2019/01/20;"Enveloppe basse";52.09755
2019/01/21;"Enveloppe basse";52.96209
2019/01/22;"Enveloppe basse";53.52854
2019/01/23;"Enveloppe basse";54.61708
2019/01/24;"Enveloppe basse";55.06734
2019/01/25;"Enveloppe basse";55.16767
2019/01/26;"Enveloppe basse";54.9813
2019/01/27;"Enveloppe basse";55.13854
2019/01/28;"Enveloppe basse";55.551
2019/01/29;"Enveloppe basse";55.75283
2019/01/30;"Enveloppe basse";55.43992
2019/01/31;"Enveloppe basse";52.67646
2019/02/01;"Enveloppe basse";55.38067
2019/02/02;"Enveloppe basse";56.44159
2019/02/03;"Enveloppe basse";54.31396
2019/02/04;"Enveloppe basse";53.33067
2019/02/05;"Enveloppe basse";53.21758
2019/02/06;"Enveloppe basse";53.2005
2019/02/07;"Enveloppe basse";53.733
2019/02/08;"Enveloppe basse";53.50425
2019/02/09;"Enveloppe basse";53.85425
2019/02/10;"Enveloppe basse";53.29649
2019/02/11;"Enveloppe basse";51.74011
2019/02/12;"Enveloppe basse";49.79079
2019/02/13;"Enveloppe basse";49.96796
2019/02/14;"Enveloppe basse";50.09566
2019/02/15;"Enveloppe basse";50.42587
2019/02/16;"Enveloppe basse";51.11692
2019/02/17;"Enveloppe basse";51.52405
2019/02/18;"Enveloppe basse";47.62247
2019/02/19;"Enveloppe basse";48.32991
2019/02/20;"Enveloppe basse";49.03642
2019/02/21;"Enveloppe basse";49.02083
2019/02/22;"Enveloppe basse";49.13425
2019/02/23;"Enveloppe basse";49.14
2019/02/24;"Enveloppe basse";48.94917
2019/02/25;"Enveloppe basse";48.2725
2019/02/26;"Enveloppe basse";48.85479
2019/02/27;"Enveloppe basse";48.79438
2019/02/28;"Enveloppe basse";48.755
2019/03/01;"Enveloppe basse";49.73958
2019/03/02;"Enveloppe basse";50.22188
2019/03/03;"Enveloppe basse";46.03649
2019/03/04;"Enveloppe basse";48.96142
2019/03/05;"Enveloppe basse";48.97
2019/03/06;"Enveloppe basse";48.79422
2019/03/07;"Enveloppe basse";47.64104
2019/03/08;"Enveloppe basse";48.97
2019/03/09;"Enveloppe basse";48.97
2019/03/10;"Enveloppe basse";48.48021
2019/03/11;"Enveloppe basse";46.45875
2019/03/12;"Enveloppe basse";46.46104
2019/03/13;"Enveloppe basse";47.28943
2019/03/14;"Enveloppe basse";45.54583
2019/03/15;"Enveloppe basse";46.79875
2019/03/16;"Enveloppe basse";46.45363
2019/03/17;"Enveloppe basse";44.44875
2019/03/18;"Enveloppe basse";46.77646
2019/03/19;"Enveloppe basse";45.40042
2019/03/20;"Enveloppe basse";46.41821
2019/03/21;"Enveloppe basse";44.90142
2019/03/22;"Enveloppe basse";45.86617
2019/03/23;"Enveloppe basse";45.65562
2019/03/24;"Enveloppe basse";43.84792
2019/03/25;"Enveloppe basse";43.52974
2019/03/26;"Enveloppe basse";46.34348
2019/03/27;"Enveloppe basse";44.83882
2019/03/28;"Enveloppe basse";44.71307
2019/03/29;"Enveloppe basse";45.4443
2019/03/30;"Enveloppe basse";46.26417
2019/03/31;"Enveloppe basse";44.75204
2019/04/01;"Enveloppe basse";44.12383
2019/04/02;"Enveloppe basse";44.45667
2019/04/03;"Enveloppe basse";44.347
2019/04/04;"Enveloppe basse";45.74562
2019/04/05;"Enveloppe basse";45.64633
2019/04/06;"Enveloppe basse";45.09979
2019/04/07;"Enveloppe basse";42.84979
2019/04/08;"Enveloppe basse";42.50741
2019/04/09;"Enveloppe basse";43.35563
2019/04/10;"Enveloppe basse";44.02438
2019/04/11;"Enveloppe basse";44.26763
2019/04/12;"Enveloppe basse";43.39584
2019/04/13;"Enveloppe basse";44.43667
2019/04/14;"Enveloppe basse";44.43
2019/04/15;"Enveloppe basse";43.545
2019/04/16;"Enveloppe basse";41.27833
2019/04/17;"Enveloppe basse";43.78717
2019/04/18;"Enveloppe basse";43.86313
2019/04/19;"Enveloppe basse";43.40483
2019/04/20;"Enveloppe basse";43.62833
2019/04/21;"Enveloppe basse";43.08416
2019/04/22;"Enveloppe basse";40.26876
2019/04/23;"Enveloppe basse";43.14729
2019/04/24;"Enveloppe basse";43.502
2019/04/25;"Enveloppe basse";43.62283
2019/04/26;"Enveloppe basse";44.00792
2019/04/27;"Enveloppe basse";44.25729
2019/04/28;"Enveloppe basse";42.9078
2019/04/29;"Enveloppe basse";42.50659
2019/04/30;"Enveloppe basse";42.97075
2019/05/01;"Enveloppe basse";43.34
2019/05/02;"Enveloppe basse";43.30583
2019/05/03;"Enveloppe basse";43.52658
2019/05/04;"Enveloppe basse";43.40975
2019/05/05;"Enveloppe basse";40.41687
2019/05/06;"Enveloppe basse";40.6075
2019/05/07;"Enveloppe basse";40.50558
2019/05/08;"Enveloppe basse";38.75293
2019/05/09;"Enveloppe basse";40.545
2019/05/10;"Enveloppe basse";41.86292
2019/05/11;"Enveloppe basse";42.23458
2019/05/12;"Enveloppe basse";41.27024
2019/05/13;"Enveloppe basse";41.74337
2019/05/14;"Enveloppe basse";38.35333
2019/05/15;"Enveloppe basse";36.52333
2019/05/16;"Enveloppe basse";40.29646
2019/05/17;"Enveloppe basse";42.12325
2019/05/18;"Enveloppe basse";42.14008
2019/05/19;"Enveloppe basse";42.92875
2019/05/20;"Enveloppe basse";40.53646
2019/05/21;"Enveloppe basse";40.60092
2019/05/22;"Enveloppe basse";40.84479
2019/05/23;"Enveloppe basse";41.55721
2019/05/24;"Enveloppe basse";41.96708
2019/05/25;"Enveloppe basse";40.94616
2019/05/26;"Enveloppe basse";39.13853
2019/05/27;"Enveloppe basse";37.94492
2019/05/28;"Enveloppe basse";38.55638
2019/05/29;"Enveloppe basse";38.25616
2019/05/30;"Enveloppe basse";38.64512
2019/05/31;"Enveloppe basse";39.36742
2019/06/01;"Enveloppe basse";39.9145
2019/06/02;"Enveloppe basse";37.9373
2019/06/03;"Enveloppe basse";38.21629
2019/06/04;"Enveloppe basse";36.99871
2019/06/05;"Enveloppe basse";36.96908
2019/06/06;"Enveloppe basse";40.65504
2019/06/07;"Enveloppe basse";39.51116
2019/06/08;"Enveloppe basse";36.81638
2019/06/09;"Enveloppe basse";38.43034
2019/06/10;"Enveloppe basse";40.48317
2019/06/11;"Enveloppe basse";38.91466
